Zip Code,Priority,Type,Latitude,Longitude
94110,3,Potentially Life-Threatening,37.74801345,-122.4224874
94112,3,Potentially Life-Threatening,37.71347595,-122.4345411
94103,3,Alarm,37.78420567,-122.4076127
94103,3,Alarm,37.7707087,-122.4077168
94107,3,Alarm,37.75729278,-122.3957719
94110,3,Potentially Life-Threatening,37.75464094,-122.4186018
94102,3,Potentially Life-Threatening,37.77404134,-122.423188
94107,3,Alarm,37.78316766,-122.3978255
94110,3,Alarm,37.73486828,-122.411052
94110,3,Non Life-threatening,37.76423612,-122.4196598
94109,3,Potentially Life-Threatening,37.78326039,-122.4183662
94105,3,Alarm,37.79129325,-122.3986146
94103,3,Potentially Life-Threatening,37.77953108,-122.4135425
94110,3,Alarm,37.75599844,-122.4094331
94102,3,Potentially Life-Threatening,37.78594197,-122.4080127
94102,3,Potentially Life-Threatening,37.78186545,-122.4142853
94105,2,Non Life-threatening,37.7935386,-122.3928891
94102,3,Potentially Life-Threatening,37.78147394,-122.4206896
94107,2,Non Life-threatening,37.77986128,-122.3895907
94109,3,Potentially Life-Threatening,37.78895561,-122.4178258
94115,3,Potentially Life-Threatening,37.78086621,-122.4288032
94117,3,Potentially Life-Threatening,37.7702426,-122.4296382
94114,3,Potentially Life-Threatening,37.76213763,-122.4362418
94115,3,Alarm,37.78137782,-122.433162
94102,3,Potentially Life-Threatening,37.78186545,-122.4142853
94110,3,Potentially Life-Threatening,37.75730761,-122.4066198
94109,3,Potentially Life-Threatening,37.78511111,-122.414592
94117,3,Fire,37.77025923,-122.4318323
94103,2,Potentially Life-Threatening,37.76907575,-122.4207886
94122,3,Potentially Life-Threatening,37.76310298,-122.4663147
94102,2,Non Life-threatening,37.78186545,-122.4142853
94115,3,Alarm,37.78137782,-122.433162
94103,3,Potentially Life-Threatening,37.78097118,-122.4087087
94133,3,Alarm,37.80769049,-122.4123296
94103,3,Potentially Life-Threatening,37.76946255,-122.4062134
94114,2,Potentially Life-Threatening,37.75995363,-122.4371836
94110,2,Non Life-threatening,37.75300403,-122.4063362
94109,2,Non Life-threatening,37.783052,-122.4200103
94103,3,Potentially Life-Threatening,37.78150637,-122.4079329
94102,2,Non Life-threatening,37.77966604,-122.4137112
94114,2,Potentially Life-Threatening,37.75995363,-122.4371836
94109,2,Non Life-threatening,37.7885473,-122.4143744
94102,2,Non Life-threatening,37.78316343,-122.4115993
94103,2,Non Life-threatening,37.77650804,-122.4144578
94124,2,Potentially Life-Threatening,37.7323221,-122.378385
94102,2,Non Life-threatening,37.77592613,-122.4245791
94133,3,Alarm,37.80769049,-122.4123296
94102,2,Non Life-threatening,37.77592613,-122.4245791
94103,3,Potentially Life-Threatening,37.77091334,-122.420305
94105,3,Alarm,37.78726854,-122.4001889
94107,3,Alarm,37.78299265,-122.3905285
94117,3,Potentially Life-Threatening,37.7773216,-122.449116
94109,3,Alarm,37.78521736,-122.4170696
94105,3,Alarm,37.79129325,-122.3986146
94110,2,Non Life-threatening,37.76429934,-122.4185514
94103,3,Potentially Life-Threatening,37.76946255,-122.4062134
94133,3,Alarm,37.79746472,-122.4146678
94102,3,Alarm,37.783359,-122.4166949
94110,3,Alarm,37.75366959,-122.4222784
94102,3,Non Life-threatening,37.78191397,-122.4130322
94102,3,Potentially Life-Threatening,37.77531731,-122.427724
94109,2,Non Life-threatening,37.79494605,-122.4291559
94117,3,Potentially Life-Threatening,37.76967964,-122.449942
94109,2,Non Life-threatening,37.79073739,-122.4198727
94102,3,Potentially Life-Threatening,37.78111921,-122.412597
94124,3,Potentially Life-Threatening,37.74252073,-122.4043063
94102,3,Potentially Life-Threatening,37.7806621,-122.4228979
94110,3,Alarm,37.75689017,-122.4222293
94124,2,Non Life-threatening,37.73371403,-122.3805885
94114,3,Potentially Life-Threatening,37.76213763,-122.4362418
94102,2,Non Life-threatening,37.78373004,-122.4137537
94112,3,Alarm,37.72569336,-122.4522897
94117,2,Non Life-threatening,37.7712162,-122.4378883
94109,2,Non Life-threatening,37.80646891,-122.4192245
94102,3,Potentially Life-Threatening,37.7815854,-122.4230902
94103,3,Alarm,37.77991167,-122.4074744
94102,3,Potentially Life-Threatening,37.78191397,-122.4130322
94102,3,Potentially Life-Threatening,37.78186545,-122.4142853
94109,3,Alarm,37.79860278,-122.4231486
94103,3,Potentially Life-Threatening,37.77262672,-122.4199873
94109,3,Alarm,37.78521736,-122.4170696
94124,3,Potentially Life-Threatening,37.72930177,-122.3908768
94110,3,Fire,37.76164305,-122.4120503
94110,3,Potentially Life-Threatening,37.73216722,-122.4212838
94105,2,Non Life-threatening,37.78729821,-122.3944813
94112,3,Alarm,37.71645955,-122.4410196
94103,3,Potentially Life-Threatening,37.77085213,-122.4136792
94105,3,Alarm,37.79129325,-122.3986146
94107,2,Non Life-threatening,37.77762424,-122.3999811
94122,3,Potentially Life-Threatening,37.76403274,-122.5094022
94102,2,Non Life-threatening,37.77966604,-122.4137112
94110,2,Non Life-threatening,37.75683373,-122.406699
94124,2,Non Life-threatening,37.73117466,-122.3816081
94102,2,Non Life-threatening,37.7869902,-122.4106839
94114,3,Alarm,37.76990742,-122.4291109
94103,2,Non Life-threatening,37.78047851,-122.4125123
94110,3,Potentially Life-Threatening,37.75730761,-122.4066198
94102,2,Non Life-threatening,37.78383852,-122.4137755
94109,3,Alarm,37.78521736,-122.4170696
94102,3,Potentially Life-Threatening,37.78578701,-122.4125478
94124,2,Potentially Life-Threatening,37.73111444,-122.3801049
94103,2,Non Life-threatening,37.78153743,-122.4095183
94103,2,Non Life-threatening,37.77097894,-122.402816
94109,2,Non Life-threatening,37.7985219,-122.4163842
94110,3,Alarm,37.75599844,-122.4094331
94115,3,Potentially Life-Threatening,37.78401768,-122.4312381
94102,3,Potentially Life-Threatening,37.78186545,-122.4142853
94110,3,Potentially Life-Threatening,37.75223946,-122.4184453
94103,3,Potentially Life-Threatening,37.77262672,-122.4199873
94102,3,Potentially Life-Threatening,37.78258503,-122.4156939
94115,3,Potentially Life-Threatening,37.78401768,-122.4312381
94110,3,Potentially Life-Threatening,37.73654494,-122.4223236
94103,3,Potentially Life-Threatening,37.77824109,-122.4111848
94110,3,Potentially Life-Threatening,37.73672968,-122.4248504
94110,3,Alarm,37.75599844,-122.4094331
94105,2,Non Life-threatening,37.79323049,-122.3931813
94114,2,Non Life-threatening,37.76924706,-122.4269556
94133,3,Non Life-threatening,37.80193064,-122.4125413
94110,3,Potentially Life-Threatening,37.75617132,-122.4198655
94110,3,Alarm,37.75016484,-122.4128319
94122,3,Alarm,37.75754536,-122.4730003
94110,3,Non Life-threatening,37.76423612,-122.4196598
94109,3,Potentially Life-Threatening,37.78611721,-122.4198542
94105,2,Non Life-threatening,37.79196281,-122.393243
94102,2,Potentially Life-Threatening,37.78144749,-122.4171456
94110,3,Potentially Life-Threatening,37.74801345,-122.4224874
94114,3,Non Life-threatening,37.76419571,-122.4330745
94117,3,Fire,37.77025923,-122.4318323
94109,3,Alarm,37.79860278,-122.4231486
94109,2,Non Life-threatening,37.79020396,-122.4163929
94102,2,Non Life-threatening,37.78160513,-122.4163363
94102,3,Potentially Life-Threatening,37.77883232,-122.4156425
94103,2,Non Life-threatening,37.76491738,-122.4218864
94110,2,Non Life-threatening,37.75257276,-122.4129952
94102,3,Potentially Life-Threatening,37.78594197,-122.4080127
94103,2,Non Life-threatening,37.77604635,-122.4112888
94115,2,Potentially Life-Threatening,37.78332633,-122.4403249
94117,3,Fire,37.77025923,-122.4318323
94107,3,Alarm,37.78316766,-122.3978255
94103,3,Potentially Life-Threatening,37.76924401,-122.4080072
94107,3,Potentially Life-Threatening,37.75117143,-122.3973798
94102,3,Potentially Life-Threatening,37.78071918,-122.4153156
94114,2,Non Life-threatening,37.75196034,-122.4363769
94109,2,Non Life-threatening,37.78610104,-122.4180881
94109,2,Non Life-threatening,37.78780723,-122.4192796
94117,3,Fire,37.77025923,-122.4318323
94115,3,Potentially Life-Threatening,37.78086621,-122.4288032
94122,3,Potentially Life-Threatening,37.76033176,-122.5092121
94102,3,Alarm,37.7877641,-122.4099253
94122,3,Potentially Life-Threatening,37.76173673,-122.4973495
94109,3,Alarm,37.78729529,-122.4158061
94102,3,Alarm,37.78640961,-122.4080362
94102,3,Alarm,37.78640961,-122.4080362
94102,3,Potentially Life-Threatening,37.78241705,-122.4208105
94102,2,Non Life-threatening,37.78176091,-122.4151051
94114,3,Potentially Life-Threatening,37.76495166,-122.4319376
94102,3,Potentially Life-Threatening,37.78578701,-122.4125478
94112,3,Potentially Life-Threatening,37.72848944,-122.4299954
94110,3,Potentially Life-Threatening,37.76437321,-122.4174785
94117,3,Potentially Life-Threatening,37.76967964,-122.449942
94103,3,Potentially Life-Threatening,37.77319006,-122.418237
94102,3,Alarm,37.78640961,-122.4080362
94133,3,Potentially Life-Threatening,37.79777923,-122.407828
94102,3,Alarm,37.7841909,-122.4101195
94102,3,Potentially Life-Threatening,37.78191397,-122.4130322
94103,3,Potentially Life-Threatening,37.78128769,-122.4113181
94110,3,Fire,37.75124396,-122.4215853
94103,3,Potentially Life-Threatening,37.78150637,-122.4079329
94105,3,Alarm,37.78870661,-122.3990102
94103,3,Potentially Life-Threatening,37.77409486,-122.4200014
94103,2,Potentially Life-Threatening,37.77305345,-122.4186182
94103,2,Non Life-threatening,37.78764185,-122.4034308
94110,3,Alarm,37.75599844,-122.4094331
94103,3,Potentially Life-Threatening,37.77953108,-122.4135425
94122,3,Potentially Life-Threatening,37.75414577,-122.4786157
94102,3,Alarm,37.77684957,-122.4213512
94110,3,Potentially Life-Threatening,37.73216722,-122.4212838
94102,3,Potentially Life-Threatening,37.78186545,-122.4142853
94102,3,Potentially Life-Threatening,37.78626844,-122.4129972
94109,3,Potentially Life-Threatening,37.80627493,-122.4230092
94109,3,Alarm,37.78521736,-122.4170696
94133,3,Non Life-threatening,37.80193064,-122.4125413
94112,3,Potentially Life-Threatening,37.72848944,-122.4299954
94117,3,Potentially Life-Threatening,37.7773216,-122.449116
94102,2,Non Life-threatening,37.78186545,-122.4142853
94115,2,Potentially Life-Threatening,37.78437057,-122.4388412
94107,2,Non Life-threatening,37.78331041,-122.3883799
94109,2,Non Life-threatening,37.78708179,-122.4258678
94122,3,Alarm,37.75754536,-122.4730003
94115,3,Alarm,37.78119999,-122.4303649
94109,2,Non Life-threatening,37.78611721,-122.4198542
94110,3,Alarm,37.75016484,-122.4128319
94110,3,Alarm,37.75016484,-122.4128319
94103,3,Alarm,37.78420567,-122.4076127
94105,3,Alarm,37.78870661,-122.3990102
94105,3,Potentially Life-Threatening,37.79184209,-122.3949402
94124,3,Potentially Life-Threatening,37.72930177,-122.3908768
94105,3,Alarm,37.78845684,-122.4018373
94109,2,Non Life-threatening,37.78911017,-122.4170169
94103,3,Potentially Life-Threatening,37.76505134,-122.419669
94103,2,Non Life-threatening,37.76700203,-122.4221581
94103,3,Potentially Life-Threatening,37.78150637,-122.4079329
94107,2,Non Life-threatening,37.77986128,-122.3895907
94109,3,Alarm,37.78521736,-122.4170696
94109,3,Alarm,37.78729529,-122.4158061
94107,2,Non Life-threatening,37.78008594,-122.3975017
94102,3,Potentially Life-Threatening,37.78160513,-122.4163363
94109,3,Alarm,37.78878689,-122.4270597
94103,3,Non Life-threatening,37.78005744,-122.4086735
94122,3,Potentially Life-Threatening,37.76208111,-122.468321
94109,3,Potentially Life-Threatening,37.78895561,-122.4178258
94117,3,Potentially Life-Threatening,37.76967964,-122.449942
94102,3,Alarm,37.783359,-122.4166949
94133,3,Potentially Life-Threatening,37.80546355,-122.4144122
94124,2,Non Life-threatening,37.71781485,-122.3914268
94115,3,Alarm,37.79009247,-122.4426337
94110,3,Potentially Life-Threatening,37.76062927,-122.4126814
94124,2,Non Life-threatening,37.72919356,-122.3740024
94103,3,Alarm,37.77991167,-122.4074744
94105,3,Alarm,37.78726854,-122.4001889
94102,2,Non Life-threatening,37.77966604,-122.4137112
94103,3,Potentially Life-Threatening,37.77651282,-122.4149667
94117,3,Fire,37.77025923,-122.4318323
94102,3,Potentially Life-Threatening,37.77531731,-122.427724
94112,3,Potentially Life-Threatening,37.72848944,-122.4299954
94109,3,Potentially Life-Threatening,37.78636079,-122.4156169
94102,3,Potentially Life-Threatening,37.77782816,-122.4249247
94109,3,Alarm,37.79860278,-122.4231486
94102,3,Alarm,37.783359,-122.4166949
94102,3,Potentially Life-Threatening,37.78241705,-122.4208105
94109,3,Alarm,37.78521736,-122.4170696
94102,3,Alarm,37.7825474,-122.4122479
94110,3,Alarm,37.75366959,-122.4222784
94110,3,Potentially Life-Threatening,37.7444275,-122.4086903
94109,3,Potentially Life-Threatening,37.79154569,-122.4200366
94102,3,Potentially Life-Threatening,37.7785752,-122.428452
94112,3,Alarm,37.71645955,-122.4410196
94133,2,Potentially Life-Threatening,37.80727587,-122.4156164
94103,3,Potentially Life-Threatening,37.78128769,-122.4113181
94117,3,Potentially Life-Threatening,37.77842248,-122.4334073
94109,3,Potentially Life-Threatening,37.7854812,-122.4212035
94102,3,Potentially Life-Threatening,37.78305497,-122.4115773
94102,3,Potentially Life-Threatening,37.78284503,-122.4132218
94102,3,Potentially Life-Threatening,37.78594197,-122.4080127
94105,3,Alarm,37.78730401,-122.3963805
94103,2,Non Life-threatening,37.78139813,-122.4092454
94105,3,Alarm,37.79129325,-122.3986146
94103,3,Alarm,37.77991167,-122.4074744
94102,3,Potentially Life-Threatening,37.7785752,-122.428452
94105,3,Potentially Life-Threatening,37.78689868,-122.3887794
94110,3,Potentially Life-Threatening,37.73654494,-122.4223236
94117,2,Non Life-threatening,37.77409268,-122.4410844
94103,2,Non Life-threatening,37.77886069,-122.4082716
94110,3,Fire,37.76042745,-122.410962
94109,3,Alarm,37.78697332,-122.4258459
94109,2,Non Life-threatening,37.79073739,-122.4198727
94110,3,Fire,37.76042745,-122.410962
94109,3,Potentially Life-Threatening,37.78636079,-122.4156169
94105,3,Alarm,37.78935407,-122.4000324
94124,3,Fire,37.73956627,-122.4069786
94110,3,Potentially Life-Threatening,37.76062927,-122.4126814
94105,3,Alarm,37.79129325,-122.3986146
94114,3,Potentially Life-Threatening,37.76495166,-122.4319376
94102,2,Non Life-threatening,37.77708346,-122.4169793
94107,3,Potentially Life-Threatening,37.77762424,-122.3999811
94112,3,Potentially Life-Threatening,37.72378785,-122.4364493
94102,3,Potentially Life-Threatening,37.78149663,-122.4163145
94103,3,Alarm,37.78420567,-122.4076127
94102,3,Alarm,37.78640961,-122.4080362
94133,3,Potentially Life-Threatening,37.79625512,-122.4084104
94114,3,Alarm,37.76990742,-122.4291109
94114,3,Potentially Life-Threatening,37.76495166,-122.4319376
94102,3,Potentially Life-Threatening,37.78111921,-122.412597
94109,2,Non Life-threatening,37.79020396,-122.4163929
94105,3,Alarm,37.78870661,-122.3990102
94122,3,Potentially Life-Threatening,37.76173673,-122.4973495
94103,3,Non Life-threatening,37.78005744,-122.4086735
94109,3,Alarm,37.78521736,-122.4170696
94133,3,Alarm,37.79746472,-122.4146678
94102,2,Non Life-threatening,37.78176091,-122.4151051
94122,3,Potentially Life-Threatening,37.76033176,-122.5092121
94133,3,Potentially Life-Threatening,37.79777923,-122.407828
94115,3,Potentially Life-Threatening,37.78153451,-122.4281353
94115,2,Potentially Life-Threatening,37.78118085,-122.428836
94112,3,Alarm,37.72569336,-122.4522897
94133,2,Non Life-threatening,37.79727032,-122.4059152
94112,3,Potentially Life-Threatening,37.72848944,-122.4299954
94110,2,Non Life-threatening,37.76227855,-122.4193325
94117,3,Potentially Life-Threatening,37.77874221,-122.4304635
94115,3,Alarm,37.78137782,-122.433162
94122,3,Potentially Life-Threatening,37.76310298,-122.4663147
94103,3,Potentially Life-Threatening,37.78150637,-122.4079329
94102,2,Non Life-threatening,37.78160513,-122.4163363
94109,3,Potentially Life-Threatening,37.78636079,-122.4156169
94103,3,Potentially Life-Threatening,37.77952317,-122.4126393
94109,3,Alarm,37.79860278,-122.4231486
94103,2,Potentially Life-Threatening,37.76844274,-122.4222977
94102,3,Potentially Life-Threatening,37.78111921,-122.412597
94122,3,Potentially Life-Threatening,37.75828227,-122.4907982
94109,3,Alarm,37.78521736,-122.4170696
94102,2,Non Life-threatening,37.77792272,-122.4189512
94109,3,Potentially Life-Threatening,37.78511111,-122.414592
94102,3,Alarm,37.7841909,-122.4101195
94109,3,Alarm,37.79860278,-122.4231486
94105,3,Potentially Life-Threatening,37.78689868,-122.3887794
94102,2,Non Life-threatening,37.78491618,-122.41195
94110,2,Non Life-threatening,37.75257276,-122.4129952
94102,3,Potentially Life-Threatening,37.78147394,-122.4206896
94103,2,Potentially Life-Threatening,37.78508117,-122.4064978
94109,3,Alarm,37.78878689,-122.4270597
94112,3,Potentially Life-Threatening,37.71347595,-122.4345411
94117,2,Potentially Life-Threatening,37.77409268,-122.4410844
